,year,gradeName,originName,max_quantity
726,2024,Light Sweet,Nigeria,33516
727,2024,Heavy Sour,Non-OPEC,810040
728,2024,Medium,Norway,3801
729,2024,Medium,OPEC,100590
730,2024,Heavy Sour,Other Americas,177765
731,2024,Medium,Saudi Arabia,64638
732,2024,Heavy Sour,Trinidad and Tobago,11368
733,2024,Heavy Sour,United Kingdom,5635
734,2024,Heavy Sour,Venezuela,33033
735,2024,Heavy Sour,World,846594
